as_of_date,ticker,headline,news_text,source,url,sentiment_score,bullish_probability,bearish_probability,neutral_probability,sentiment_category,confidence,key_points
2025-04-29 22:49:00,NVDA,TSMC's AI chip plans remain on track; CoWoS capacity to double in 2025,,Finviz,https://www.digitimes.com/news/a20250430PD220/tsmc-cowos-capacity-nvidia-2025.html,0.9268693946693781,0.9382112094238884,0.011341814754510226,0.050446975821601375,bullish,0.9382112094238884,[]
2025-04-29 21:55:00,NVDA,TSMC Starts Building Third Arizona Plant As US Tariffs Loom,,Finviz,https://finance.yahoo.com/news/tsmc-starts-building-third-arizona-015525442.html,0.37756872906871264,0.4772936417285418,0.0997249126598291,0.42298144561162915,bullish,0.4772936417285418,[]
2025-04-29 21:30:00,NVDA,Franklin Growth Fund Q1 2025 Commentary,,Finviz,https://seekingalpha.com/article/4779488-franklin-growth-fund-q1-2025-commentary?utm_source=finviz.com&utm_medium=referral&feed_item_type=article,0.03781816766004625,0.0512748377347545,0.01345667007470825,0.9352684921905372,neutral,0.9352684921905372,[]
2025-04-29 20:39:00,BA,Well Happily Take Them All: Boeing Stock (NYSE:BA) Gains as Another Buyer for the Chinese Planes Emerges,,Finviz,https://finance.yahoo.com/news/ll-happily-them-boeing-stock-003900270.html,0.9276873121068411,0.9455405156691945,0.017853203562353433,0.03660628076845211,bullish,0.9455405156691945,[]
2025-04-29 19:55:00,TSLA,"Elon Musk Was Asked 'Who's the Smartest Guy You've Ever Met?' He Picked Two CEOs, Both Named Larry  And One Even Said He'd Leave Him His Fortune",,Finviz,https://finance.yahoo.com/news/elon-musk-asked-whos-smartest-235549519.html,-0.013003925803770907,0.02819753983708748,0.04120146564085839,0.9306009945220541,neutral,0.9306009945220541,[]
2025-04-29 19:30:00,NVDA,"Brad Gerstner Says He's Buying NVIDIA (NVDA) Amid 'Off The Charts' GPU Demand, Secular Growth",,Finviz,/news/38283/brad-gerstner-says-hes-buying-nvidia-nvda-amid-off-the-charts-gpu-demand-secular-growth,-0.29229728441987507,0.08045242606919369,0.37274971048906874,0.5467978634417375,bearish,0.5467978634417375,[]
2025-04-29 18:21:00,TSLA,Trump's auto tariff exemptions: What they mean for automakers,,Finviz,https://finance.yahoo.com/video/trumps-auto-tariff-exemptions-mean-222100504.html,0.06562407616878749,0.08863490473230742,0.02301082856351994,0.8883542667041726,bullish,0.8883542667041726,[]
2025-04-29 17:45:00,NVDA,Nvidia (NVDA) Gains But Lags Market: What You Should Know,,Finviz,/news/39450/nvidia-nvda-gains-but-lags-market-what-you-should-know,0.12922754848224235,0.17609680158152285,0.04686925309928049,0.7770339453191967,bullish,0.7770339453191967,[]
2025-04-29 17:39:00,NVDA,These Charts Show How Every S&P 500 Stock Has Performed in Trumps First 100 Days,,Finviz,https://finance.yahoo.com/m/85255294-5bae-3c9d-9909-77641aa7ab6a/these-charts-show-how-every.html,0.09960588925614497,0.12465801509989013,0.02505212584374517,0.8502898590563647,bullish,0.8502898590563647,[]
2025-04-29 17:39:00,NVDA,Supermicro Stock Plummets as Server Maker Slashes Quarterly Forecast,,Finviz,https://www.investopedia.com/supermicro-stock-plummets-as-server-maker-slashes-quarterly-forecast-11724596,-0.9615228814082338,0.008051511344175566,0.9695743927524094,0.022374095903415017,bearish,0.9695743927524094,[]
2025-04-29 17:30:00,NVDA,"NVIDIA, Dell fall after-hours after SMCIs Q3 warning",,Finviz,https://finance.yahoo.com/news/nvidia-dell-fall-hours-smci-213040839.html,-0.8755088423646011,0.013370083443189419,0.8888789258077906,0.09775099074901998,bearish,0.8888789258077906,[]
